zao,zhong,wan,times,label
4.0,11.88,7.5,8,0
5.0,11.5,7.8,15,0
3.33,13.1,4.33,9,0
4.5,12.22,9.25,10,0
0.0,12.92,4.77,9,0
3.0,9.61,5.0,11,0
2.85,4.33,5.25,11,1
2.75,10.26,3.38,13,1
3.5,10.88,7.0,11,0
5.58,10.67,2.5,10,0
3.7,13.6,11.0,10,0
4.0,10.28,13.1,12,0
4.98,8.3,13.84,11,0
3.42,8.95,6.0,10,0
11.0,7.83,2.5,9,0
6.33,8.12,5.0,9,0
10.33,10.25,12.2,10,0
5.62,12.2,9.35,10,0
5.0,7.92,5.0,8,0
0.0,7.21,4.75,9,1
0.0,6.66,4.1,10,1
0.0,7.07,6.25,9,1
2.98,12.29,5.62,16,0
2.88,10.5,4.33,13,1
2.67,10.62,5.7,11,0
6.4,13.0,0.0,10,0
3.5,10.75,10.53,11,0
5.2,9.2,3.5,11,0
4.05,9.19,5.85,13,0
3.8,9.07,7.0,13,0
2.55,10.16,6.7,9,0
3.62,9.2,3.0,11,0
4.36,11.1,6.17,15,0
12.0,9.02,8.75,10,0
11.12,9.95,3.5,10,0
5.0,11.79,0.0,8,0
3.5,10.93,0.0,8,0
3.5,12.24,4.25,10,0
8.6,9.85,11.5,10,0
0.0,10.98,12.67,8,0
7.5,8.62,7.38,9,0
6.25,13.51,6.17,10,0
0.0,7.4,4.0,8,1
4.5,10.8,0.0,7,0
3.5,7.83,6.5,9,1
5.67,10.83,14.0,11,0
6.5,13.0,11.0,11,0
2.0,14.5,11.95,9,0
13.5,14.17,11.08,10,0
0.0,13.9,8.0,10,0
0.0,16.88,13.38,8,0
4.75,19.75,7.5,9,0
3.12,18.2,14.0,12,0
6.0,14.25,12.33,10,0
0.0,14.83,10.25,7,0
2.5,0.0,8.5,7,0
5.33,13.0,16.27,8,0
6.25,10.75,15.92,14,0
4.5,6.0,9.0,9,0
0.0,10.5,8.42,8,0
0.0,13.6,9.5,9,0
0.0,9.6,7.25,9,0
5.0,9.86,17.75,12,0
9.0,15.93,10.35,13,0
9.67,15.21,15.31,17,0
10.5,19.37,13.77,15,0
13.0,15.94,16.06,14,0
6.2,8.9,5.4,9,0
4.2,9.12,14.33,12,0
5.83,8.25,15.0,10,0
9.7,6.0,15.0,8,0
8.94,10.3,1.0,9,0
6.75,13.12,16.5,12,0
6.1,14.8,10.5,12,0
6.42,15.1,9.8,14,0
5.67,18.95,1.75,12,0
8.88,22.25,8.0,9,0
7.05,16.67,10.0,12,0
8.1,11.86,9.0,16,0
6.04,14.12,16.77,12,0
5.88,12.17,9.0,12,0
4.62,11.8,7.48,15,0
6.6,12.0,3.17,12,0
4.62,15.5,8.07,11,0
4.07,14.4,10.27,12,0
4.2,14.2,6.28,15,0
2.85,12.0,5.39,11,0
2.2,16.65,5.5,9,0
3.43,12.8,8.67,12,0
5.0,9.6,8.5,9,0
4.25,13.43,9.2,12,0
9.3,10.12,10.13,12,0
7.0,12.98,10.0,10,0
4.0,12.17,6.83,11,0
8.31,7.78,4.3,7,0
9.0,20.67,27.0,14,0
12.17,32.67,8.0,8,0
9.12,18.4,5.75,10,0
6.5,13.0,11.35,11,0
6.7,26.2,7.75,12,0
6.14,15.95,13.0,10,0
5.78,14.88,0.0,11,0
4.75,7.82,5.0,12,0
5.74,18.6,16.17,13,0
5.36,14.5,8.5,11,0
5.07,13.22,0.0,12,0
3.42,15.67,0.0,9,0
3.17,9.33,8.83,12,0
4.34,6.88,5.0,12,0
6.09,9.67,0.0,10,0
3.8,11.0,5.5,8,0
6.6,8.67,4.8,9,0
4.6,8.4,0.0,10,0
